City,Cloudiness(%),Humidity(%),Latitude,Longitude,Temperature(F),Wind Speed(mph),Initial Cluster,Cluster
la paz,75,71,-16.5,-68.15,51.8,11.41,7,6
zhob,1,70,31.34,69.45,45.79,2.66,8,8
cermik,75,93,38.14,39.45,48.2,9.17,7,6
oussouye,0,69,12.48,-16.55,81.48,4.7,1,3
el reten,40,52,10.61,-74.27,86.97,19.46,9,1
campamento,0,44,14.55,-86.65,76.86,5.95,5,4
sri aman,74,100,1.24,111.46,75.13,3.36,2,2
pemba,75,88,-12.97,40.52,80.6,4.7,2,2
qasigiannguit,100,55,68.82,-51.19,6.8,16.11,3,9
stykkisholmur,61,79,65.08,-22.73,24.37,10.25,3,9
adrar,0,10,20.5,-10.07,68.68,6.53,5,4
nosy varika,90,95,-20.58,48.53,72.37,6.67,2,2
tayabo,70,68,15.83,121.03,75.61,2.75,10,0
kallifitos,20,93,41.17,24.22,52.95,0.47,1,3
maldonado,0,65,-34.67,-54.92,81.9,9.17,1,3
la ronge,20,50,55.1,-105.28,5.0,13.87,4,10
herat,75,52,34.5,62.0,44.6,5.82,0,5
tocopilla,55,54,-22.09,-70.2,63.52,2.3,9,1
storslett,100,73,69.77,21.02,24.01,27.11,3,9
coos bay,90,87,43.37,-124.22,46.76,5.82,7,6
machinga,100,95,-15.17,35.3,67.44,3.42,2,2
havelock,75,72,34.88,-76.9,65.37,4.7,10,0
placido de castro,100,95,-10.34,-67.19,76.14,1.19,2,2
ipixuna,75,94,-1.76,-48.8,78.8,2.24,2,2
tazovskiy,100,88,67.47,78.7,34.11,22.46,7,6
tabory,100,89,58.52,64.55,36.52,13.58,7,6
flin flon,20,51,54.77,-101.86,10.4,10.29,4,10
el retorno,92,89,2.33,-72.63,76.71,4.05,2,2
yulara,0,26,-25.24,130.99,80.6,11.41,5,4
beringovskiy,100,76,63.05,179.32,30.6,4.47,7,6
kiruna,67,78,67.86,20.23,14.0,9.17,3,9
vardo,20,72,70.37,31.11,12.54,20.8,8,8
